Commit,Date,Author,Message,Lines Added,Lines Deleted,Total Line Changes
99b45fde,2026-01-27 15:37:01,Suryaansh,Delete risk based approaches section from literature,0,7,7
abba59b2,2026-01-27 15:36:12,Suryaansh,adding research paper  risk based approaches in financial systems,10,3,13
340c58a1,2026-01-22 07:46:33,Suryaansh,cleaned up stuff for literature md,0,7,7
bb8e5ab0,2026-01-22 07:45:47,Suryaansh,adding research paper  fraud risk scoring models and techniques,0,0,0
55bb9026,2026-01-22 07:45:40,Suryaansh,adding research paper  fraud risk scoring models and techniques,9,1,10
8f2d0fcc,2026-01-22 07:22:42,Suryaansh,adding research paper  fraud risk scoring models and techniques,10,1,11
66f0ee79,2026-01-21 05:53:55,Suryaansh,Add initial content to literature.md,1,0,1
25000a7b,2026-01-21 05:53:17,Suryaansh,ono,0,1,1
0dc2b85c,2026-01-21 05:52:35,Suryaansh,Add initial content for literature section,1,0,1
14bbdb4d,2026-01-16 16:02:24,Suryaansh,initial stuff,163,0,163
